TransactionID,CustomerID,TransactionDate,TransactionValue,ProductCategory,PaymentMethod,CustomerGender,CustomerAgeGroup,Region
TRANS000057,CUST01104,6/6/2023,351517,Electronics,Bank Transfer,Female,26-35,Yogyakarta
TRANS000058,CUST01031,9/1/2023,4304369,Beauty,Bank Transfer,Male,18-25,Jakarta
TRANS000059,CUST01209,8/13/2024,655910,Sport,Credit Card,Male,26-35,Medan
TRANS000060,CUST01834,3/24/2024,922496,Electronics,Bank Transfer,Female,26-35,Yogyakarta
TRANS000061,CUST00774,5/15/2023,4008293,Beauty,E-Wallet,Male,26-35,Bandung
TRANS000062,CUST00684,8/15/2024,1657464,Sport,Bank Transfer,Female,26-35,Surabaya
TRANS000063,CUST01752,5/10/2023,2735578,Electronics,E-Wallet,Male,>50,Jakarta
TRANS000064,CUST01911,4/26/2024,3286502,Beauty,Credit Card,Male,18-25,Jakarta
TRANS000065,CUST00094,2/13/2024,4590034,Beauty,E-Wallet,Female,26-35,Surabaya
TRANS000066,CUST01345,7/16/2023,4800771,Home,Bank Transfer,Female,26-35,Surabaya
TRANS000067,CUST00106,6/5/2024,4098819,Home,Credit Card,Male,26-35,Yogyakarta
TRANS000068,CUST01185,9/24/2023,3763496,Fashion,Bank Transfer,Male,26-35,Jakarta
TRANS000069,CUST00412,2/12/2023,2866667,Home,Bank Transfer,Female,18-25,Jakarta
TRANS000070,CUST00142,5/4/2024,4304390,Fashion,E-Wallet,Male,26-35,Surabaya
TRANS000071,CUST01205,10/21/2024,2147409,Sport,E-Wallet,Female,26-35,Medan
TRANS000072,CUST00511,11/24/2023,3509447,Fashion,Credit Card,Female,18-25,Medan
TRANS000073,CUST01084,2/12/2023,2411927,Sport,Bank Transfer,Female,26-35,Surabaya
TRANS000074,CUST00773,7/19/2024,566041,Sport,Credit Card,Male,36-50,Medan
TRANS000075,CUST01518,3/18/2024,4240546,Fashion,Credit Card,Female,26-35,Jakarta
TRANS000076,CUST01096,10/25/2023,3910463,Fashion,Credit Card,Male,26-35,Bandung
TRANS000077,CUST00077,8/16/2024,2341548,Sport,E-Wallet,Female,18-25,Medan
TRANS000078,CUST00928,2/6/2023,533569,Electronics,Bank Transfer,Female,>50,Bandung
TRANS000079,CUST00029,3/4/2024,2069652,Home,E-Wallet,Female,18-25,Yogyakarta
TRANS000080,CUST01644,11/19/2023,3082607,Electronics,Bank Transfer,Female,26-35,Denpasar
TRANS000081,CUST00730,6/24/2024,2590692,Electronics,Bank Transfer,Male,26-35,Jakarta
TRANS000082,CUST01716,12/24/2023,1131666,Home,Bank Transfer,Female,26-35,Surabaya
TRANS000083,CUST00164,8/25/2024,3292980,Home,E-Wallet,Female,36-50,Denpasar
TRANS000084,CUST01263,9/7/2023,1318248,Fashion,Credit Card,Male,26-35,Medan
TRANS000085,CUST00594,9/25/2024,1245599,Home,E-Wallet,Male,26-35,Medan
TRANS000086,CUST00617,10/12/2024,4159361,Electronics,E-Wallet,Male,26-35,Denpasar
TRANS000087,CUST00734,2/29/2024,3840809,Fashion,Bank Transfer,Female,>50,Medan
TRANS000088,CUST01537,8/15/2024,2262260,Home,Credit Card,Male,18-25,Yogyakarta
TRANS000089,CUST00881,10/20/2024,3447636,Sport,Bank Transfer,Male,26-35,Denpasar
TRANS000090,CUST01264,4/25/2023,494102,Fashion,Bank Transfer,Female,18-25,Yogyakarta
TRANS000091,CUST00797,11/21/2024,808275,Sport,E-Wallet,Female,18-25,Surabaya
TRANS000092,CUST01396,2/24/2023,2032040,Home,E-Wallet,Female,>50,Jakarta
TRANS000093,CUST00636,9/17/2023,4598818,Sport,Credit Card,Male,26-35,Yogyakarta
TRANS000094,CUST00193,6/12/2023,1775237,Home,E-Wallet,Female,26-35,Medan
TRANS000095,CUST00674,4/17/2024,1280438,Sport,E-Wallet,Female,18-25,Denpasar
TRANS000096,CUST00966,3/16/2024,2736757,Beauty,Bank Transfer,Male,36-50,Bandung
TRANS000097,CUST01978,12/15/2023,1296018,Home,Bank Transfer,Male,26-35,Yogyakarta
TRANS000098,CUST00381,9/13/2023,4144672,Sport,E-Wallet,Male,36-50,Jakarta
TRANS000099,CUST01245,12/8/2023,2447672,Fashion,Bank Transfer,Female,36-50,Jakarta
TRANS000100,CUST01825,9/19/2024,2566306,Electronics,Bank Transfer,Female,18-25,Denpasar
TRANS000101,CUST01051,11/1/2024,2520425,Home,E-Wallet,Female,18-25,Denpasar
TRANS000102,CUST00481,9/15/2023,4478301,Electronics,Bank Transfer,Female,18-25,Medan
TRANS000103,CUST00437,3/8/2023,3204676,Electronics,Bank Transfer,Male,26-35,Denpasar
TRANS000104,CUST01620,4/24/2023,863963,Sport,Bank Transfer,Female,18-25,Medan
TRANS000105,CUST01576,7/8/2024,1032725,Beauty,E-Wallet,Male,26-35,Bandung
TRANS000106,CUST01401,10/5/2024,4136450,Sport,Bank Transfer,Male,18-25,Jakarta
TRANS000107,CUST01721,1/9/2023,2793042,Beauty,Bank Transfer,Male,26-35,Denpasar
TRANS000108,CUST00811,10/24/2024,1075802,Sport,Bank Transfer,Female,18-25,Surabaya
TRANS000109,CUST00235,9/16/2024,4733702,Fashion,Credit Card,Male,26-35,Denpasar
TRANS000110,CUST00471,9/28/2023,4666934,Electronics,E-Wallet,Male,18-25,Denpasar
TRANS000111,CUST01387,5/3/2023,175315,Fashion,Bank Transfer,Female,18-25,Bandung
TRANS000112,CUST01033,9/15/2024,571328,Fashion,E-Wallet,Male,36-50,Denpasar
TRANS000113,CUST00605,11/22/2024,619549,Electronics,E-Wallet,Male,18-25,Surabaya
TRANS000114,CUST01298,12/11/2023,4734485,Electronics,Bank Transfer,Male,18-25,Surabaya
TRANS000115,CUST00777,8/27/2024,1471193,Home,Bank Transfer,Male,18-25,Bandung
TRANS000116,CUST00257,2/6/2023,3318629,Fashion,Credit Card,Female,26-35,Denpasar
TRANS000117,CUST00635,4/25/2024,200764,Fashion,Bank Transfer,Male,36-50,Jakarta
TRANS000118,CUST01266,1/29/2024,2784210,Sport,E-Wallet,Male,18-25,Surabaya
TRANS000119,CUST00404,5/7/2023,2219953,Fashion,E-Wallet,Female,26-35,Denpasar
TRANS000120,CUST01874,5/7/2024,4731836,Sport,Bank Transfer,Female,36-50,Bandung
TRANS000121,CUST01705,12/24/2024,4657926,Electronics,Bank Transfer,Male,>50,Surabaya
TRANS000122,CUST00628,1/12/2023,4226418,Fashion,E-Wallet,Female,26-35,Medan
TRANS000123,CUST01932,10/29/2023,3389017,Sport,Bank Transfer,Female,18-25,Jakarta
TRANS000124,CUST00546,2/11/2023,1327722,Fashion,Credit Card,Male,26-35,Jakarta
TRANS000125,CUST01382,7/8/2024,3064353,Electronics,Credit Card,Male,26-35,Jakarta
TRANS000126,CUST00614,1/1/2024,1345536,Beauty,E-Wallet,Male,36-50,Yogyakarta
TRANS000127,CUST00530,5/1/2024,1959990,Sport,Credit Card,Female,>50,Yogyakarta
TRANS000128,CUST01746,5/22/2023,1984629,Home,Credit Card,Female,18-25,Medan
TRANS000129,CUST01840,11/5/2023,4853996,Fashion,E-Wallet,Male,26-35,Jakarta
TRANS000130,CUST00801,1/6/2023,2214357,Home,Bank Transfer,Female,36-50,Bandung
TRANS000131,CUST00531,3/27/2024,3504439,Sport,Bank Transfer,Female,26-35,Bandung
TRANS000132,CUST00063,1/19/2023,4029329,Home,E-Wallet,Female,36-50,Jakarta
TRANS000133,CUST00904,3/14/2023,3240389,Sport,E-Wallet,Female,26-35,Yogyakarta
TRANS000134,CUST01051,1/26/2023,3202033,Sport,Bank Transfer,Female,18-25,Denpasar
TRANS000135,CUST00786,11/19/2023,3050441,Electronics,Bank Transfer,Female,18-25,Medan
TRANS000136,CUST01400,9/3/2023,1695735,Beauty,Credit Card,Female,26-35,Surabaya
TRANS000137,CUST01160,5/17/2023,265749,Fashion,Bank Transfer,Male,18-25,Surabaya
TRANS000138,CUST00929,1/14/2023,1612636,Electronics,E-Wallet,Female,36-50,Surabaya
TRANS000139,CUST00800,2/8/2023,183616,Home,Bank Transfer,Female,18-25,Medan
TRANS000140,CUST00454,8/20/2023,1565286,Home,Credit Card,Female,26-35,Denpasar
TRANS000141,CUST01210,12/25/2023,1155519,Electronics,Credit Card,Female,26-35,Denpasar
TRANS000142,CUST00334,9/3/2024,2613956,Home,Credit Card,Male,26-35,Yogyakarta
TRANS000143,CUST01923,12/19/2023,4992769,Fashion,Bank Transfer,Female,36-50,Medan
TRANS000144,CUST01461,8/12/2023,4297876,Home,Bank Transfer,Male,18-25,Denpasar
TRANS000145,CUST01542,7/5/2023,675103,Fashion,E-Wallet,Male,36-50,Surabaya
TRANS000146,CUST01560,6/5/2024,2691072,Beauty,Bank Transfer,Female,26-35,Medan
TRANS000147,CUST01670,10/22/2023,2935401,Beauty,E-Wallet,Female,26-35,Surabaya
TRANS000148,CUST01430,1/16/2024,2956729,Home,Bank Transfer,Female,26-35,Medan
TRANS000149,CUST01105,8/7/2024,4491919,Home,Bank Transfer,Female,18-25,Medan
TRANS000150,CUST01946,12/9/2023,4350612,Electronics,Bank Transfer,Female,18-25,Yogyakarta
TRANS000151,CUST00898,4/24/2024,3098734,Fashion,E-Wallet,Female,18-25,Bandung
TRANS000152,CUST00963,1/21/2024,4927288,Home,Credit Card,Male,26-35,Medan
TRANS000153,CUST00697,3/27/2024,3290286,Fashion,Credit Card,Male,26-35,Jakarta
TRANS000154,CUST01584,7/22/2024,2547612,Home,E-Wallet,Female,36-50,Medan
TRANS000155,CUST00427,5/2/2023,645346,Sport,Credit Card,Male,18-25,Jakarta
TRANS000156,CUST00590,3/24/2023,1237429,Electronics,Credit Card,Male,36-50,Bandung
TRANS000157,CUST00505,12/2/2024,251873,Sport,Bank Transfer,Female,18-25,Denpasar
TRANS000158,CUST01070,3/18/2024,4529008,Sport,E-Wallet,Male,26-35,Medan
TRANS000159,CUST00940,6/5/2024,2169649,Electronics,Credit Card,Female,18-25,Yogyakarta
TRANS000160,CUST01348,11/22/2024,2739583,Fashion,E-Wallet,Male,18-25,Denpasar
TRANS000161,CUST00866,8/29/2023,61720,Home,E-Wallet,Female,26-35,Surabaya
TRANS000162,CUST01463,10/25/2024,2637653,Fashion,Credit Card,Male,26-35,Surabaya
TRANS000163,CUST00652,9/15/2023,852582,Electronics,Credit Card,Female,26-35,Medan
TRANS000164,CUST01990,5/12/2023,1329330,Electronics,Bank Transfer,Female,36-50,Surabaya
TRANS000165,CUST01734,4/22/2024,2513557,Sport,Bank Transfer,Male,26-35,Surabaya
TRANS000166,CUST01608,3/17/2023,4463206,Home,Bank Transfer,Female,18-25,Surabaya
TRANS000167,CUST00513,1/30/2024,1322237,Beauty,E-Wallet,Female,26-35,Bandung
TRANS000168,CUST00913,10/12/2024,4613503,Beauty,Credit Card,Female,36-50,Jakarta
TRANS000169,CUST01670,6/5/2023,2387883,Fashion,Credit Card,Female,26-35,Surabaya
TRANS000170,CUST00770,8/21/2023,2085841,Beauty,E-Wallet,Female,26-35,Medan
TRANS000171,CUST01666,9/30/2024,2015167,Fashion,E-Wallet,Female,26-35,Surabaya
TRANS000172,CUST01683,8/12/2023,3426800,Electronics,Bank Transfer,Female,36-50,Bandung
TRANS000173,CUST00044,11/2/2023,2880944,Fashion,Credit Card,Female,18-25,Yogyakarta
TRANS000174,CUST00580,3/11/2024,4775055,Sport,Credit Card,Male,26-35,Bandung
TRANS000175,CUST00212,2/20/2024,2753515,Electronics,Bank Transfer,Female,36-50,Denpasar
TRANS000176,CUST01695,5/15/2024,3775238,Electronics,Bank Transfer,Male,26-35,Surabaya
TRANS000177,CUST00601,3/18/2023,532802,Sport,Credit Card,Male,26-35,Jakarta
TRANS000178,CUST01269,11/22/2023,2517714,Home,Credit Card,Female,26-35,Medan
TRANS000179,CUST01880,1/13/2023,2124392,Electronics,E-Wallet,Female,18-25,Surabaya
TRANS000180,CUST00396,9/20/2024,2795438,Home,E-Wallet,Female,26-35,Denpasar
TRANS000181,CUST00950,3/5/2024,430276,Fashion,Bank Transfer,Female,>50,Bandung
TRANS000182,CUST01912,1/26/2023,595795,Beauty,E-Wallet,Female,18-25,Yogyakarta
TRANS000183,CUST00217,4/4/2024,358928,Sport,Credit Card,Male,36-50,Jakarta
TRANS000184,CUST01515,4/28/2024,4984873,Beauty,E-Wallet,Male,36-50,Medan
TRANS000185,CUST01300,5/20/2023,1990224,Sport,Bank Transfer,Female,36-50,Surabaya
TRANS000186,CUST00055,9/4/2023,2908729,Electronics,Bank Transfer,Female,36-50,Surabaya
TRANS000187,CUST00056,10/27/2024,2297460,Electronics,Bank Transfer,Female,26-35,Jakarta
TRANS000188,CUST00532,2/5/2024,3960358,Beauty,E-Wallet,Female,36-50,Surabaya
TRANS000189,CUST01216,1/2/2024,76415,Home,Credit Card,Male,18-25,Medan
TRANS000190,CUST01487,8/20/2023,1381086,Beauty,E-Wallet,Male,26-35,Surabaya
TRANS000191,CUST00327,5/6/2024,4182597,Home,E-Wallet,Female,36-50,Bandung
TRANS000192,CUST01769,3/23/2023,4122258,Beauty,Bank Transfer,Male,18-25,Yogyakarta
TRANS000193,CUST01641,2/23/2024,395230,Electronics,Bank Transfer,Female,18-25,Surabaya
TRANS000194,CUST00334,7/22/2024,3422356,Beauty,Bank Transfer,Male,26-35,Yogyakarta
TRANS000195,CUST01581,12/13/2024,4815291,Fashion,E-Wallet,Male,26-35,Medan
TRANS000196,CUST00655,10/17/2023,2306008,Electronics,E-Wallet,Male,36-50,Yogyakarta
TRANS000197,CUST01507,6/29/2024,1333510,Home,Credit Card,Female,>50,Medan
TRANS000198,CUST00181,4/10/2024,959712,Beauty,Bank Transfer,Male,26-35,Yogyakarta
TRANS000199,CUST01099,9/7/2024,4082351,Sport,Bank Transfer,Female,18-25,Surabaya
TRANS000200,CUST00844,3/23/2023,3496204,Beauty,E-Wallet,Female,>50,Medan
TRANS000201,CUST00542,9/27/2023,4604465,Electronics,Bank Transfer,Female,36-50,Surabaya
TRANS000202,CUST01452,4/22/2023,1440509,Sport,Credit Card,Female,26-35,Denpasar
TRANS000203,CUST01608,8/19/2023,3369444,Home,E-Wallet,Female,18-25,Surabaya
TRANS000204,CUST00262,9/15/2024,1173312,Electronics,Credit Card,Female,26-35,Bandung
TRANS000205,CUST01070,12/23/2023,1880334,Fashion,Credit Card,Male,26-35,Medan
TRANS000206,CUST01875,1/7/2023,2770823,Fashion,Credit Card,Female,18-25,Denpasar
TRANS000207,CUST01296,12/7/2024,2460386,Electronics,Bank Transfer,Male,18-25,Yogyakarta
TRANS000208,CUST01249,4/10/2024,449010,Home,Credit Card,Female,36-50,Denpasar
TRANS000209,CUST01451,11/28/2023,4955421,Electronics,E-Wallet,Female,26-35,Surabaya
TRANS000210,CUST01767,2/7/2024,443814,Sport,E-Wallet,Female,26-35,Yogyakarta
TRANS000211,CUST00586,12/26/2024,3482144,Electronics,E-Wallet,Male,26-35,Medan
TRANS000212,CUST00558,8/22/2024,408649,Home,Bank Transfer,Male,18-25,Denpasar
TRANS000213,CUST00540,6/26/2024,3826074,Electronics,Bank Transfer,Male,36-50,Medan
TRANS000214,CUST01723,4/10/2023,2766064,Sport,E-Wallet,Male,>50,Jakarta
TRANS000215,CUST01542,8/19/2024,3881407,Fashion,E-Wallet,Male,36-50,Surabaya
TRANS000216,CUST01007,4/22/2023,1006844,Fashion,Bank Transfer,Female,>50,Medan
TRANS000217,CUST00770,12/26/2023,4704222,Sport,E-Wallet,Female,26-35,Medan
TRANS000218,CUST00532,10/20/2024,4662866,Home,E-Wallet,Female,36-50,Surabaya
TRANS000219,CUST01165,9/21/2023,1985244,Beauty,E-Wallet,Male,18-25,Bandung
TRANS000220,CUST01379,10/13/2024,1131200,Electronics,Bank Transfer,Male,18-25,Yogyakarta
TRANS000221,CUST01442,7/5/2024,4144770,Home,Bank Transfer,Male,26-35,Jakarta
TRANS000222,CUST00929,3/16/2023,993643,Fashion,E-Wallet,Female,36-50,Surabaya
TRANS000223,CUST00978,4/27/2024,2105263,Home,E-Wallet,Male,18-25,Bandung
TRANS000224,CUST00788,12/3/2024,4067618,Sport,Credit Card,Male,18-25,Denpasar
TRANS000225,CUST00460,12/26/2024,4598475,Fashion,Credit Card,Male,26-35,Bandung
TRANS000226,CUST01805,5/16/2024,1618425,Fashion,Bank Transfer,Male,18-25,Denpasar
TRANS000227,CUST00968,6/15/2024,4191076,Beauty,Bank Transfer,Male,26-35,Yogyakarta
TRANS000228,CUST01069,7/11/2024,2405249,Home,E-Wallet,Male,18-25,Yogyakarta
TRANS000229,CUST00237,12/14/2024,3584569,Sport,Credit Card,Male,36-50,Medan
TRANS000230,CUST01320,12/29/2023,3491444,Beauty,Credit Card,Male,36-50,Surabaya
TRANS000231,CUST01950,9/25/2024,1209878,Electronics,Credit Card,Male,18-25,Bandung
TRANS000232,CUST01067,4/8/2024,2462644,Fashion,Credit Card,Male,18-25,Surabaya
TRANS000233,CUST01968,5/22/2024,3835024,Fashion,E-Wallet,Male,18-25,Surabaya
TRANS000234,CUST00755,11/15/2023,1265356,Sport,Credit Card,Male,>50,Medan
TRANS000235,CUST00491,2/5/2024,55173,Electronics,Credit Card,Female,18-25,Denpasar
TRANS000236,CUST00372,10/18/2024,4680185,Sport,Credit Card,Male,36-50,Surabaya
TRANS000237,CUST00954,12/25/2024,4989501,Electronics,Bank Transfer,Female,26-35,Surabaya
TRANS000238,CUST01318,11/8/2024,2647475,Electronics,Bank Transfer,Female,18-25,Denpasar
TRANS000239,CUST01776,8/20/2024,3102936,Sport,E-Wallet,Male,>50,Medan
TRANS000240,CUST01164,12/28/2024,363294,Fashion,Credit Card,Female,26-35,Yogyakarta
TRANS000241,CUST01528,9/14/2024,3798423,Fashion,Credit Card,Male,36-50,Denpasar
TRANS000242,CUST01909,5/4/2023,3818954,Sport,Credit Card,Male,26-35,Medan
TRANS000243,CUST00041,12/13/2024,2094324,Sport,Credit Card,Male,36-50,Surabaya
TRANS000244,CUST01410,6/22/2024,4324032,Electronics,Bank Transfer,Female,18-25,Bandung
TRANS000245,CUST01625,2/19/2023,805893,Sport,E-Wallet,Male,18-25,Surabaya
TRANS000246,CUST01210,9/4/2023,1578762,Fashion,Credit Card,Female,26-35,Denpasar
TRANS000247,CUST01231,7/18/2023,3409853,Electronics,Credit Card,Female,26-35,Yogyakarta
TRANS000248,CUST01652,6/25/2023,1255246,Beauty,Bank Transfer,Male,26-35,Surabaya
TRANS000249,CUST00191,8/28/2023,1232984,Sport,Credit Card,Male,18-25,Jakarta
TRANS000250,CUST00355,10/29/2023,3270753,Fashion,Bank Transfer,Male,36-50,Medan
TRANS000251,CUST01038,11/1/2024,530810,Electronics,E-Wallet,Female,>50,Surabaya
TRANS000252,CUST00639,5/7/2023,4981280,Fashion,Bank Transfer,Male,>50,Jakarta
TRANS000253,CUST01802,6/15/2024,3223301,Home,Bank Transfer,Female,>50,Bandung
TRANS000254,CUST00512,5/19/2024,4565912,Electronics,Bank Transfer,Male,36-50,Jakarta
TRANS000255,CUST00668,10/11/2024,1630230,Home,E-Wallet,Male,26-35,Bandung
TRANS000256,CUST00231,1/7/2024,535545,Home,Credit Card,Female,36-50,Jakarta
TRANS000257,CUST00956,12/19/2023,1763063,Home,Credit Card,Male,26-35,Bandung
TRANS000258,CUST00856,3/16/2024,3346534,Beauty,E-Wallet,Male,26-35,Jakarta
TRANS000259,CUST01712,10/22/2024,4947138,Electronics,Bank Transfer,Male,36-50,Medan
TRANS000260,CUST01272,5/8/2023,4554271,Fashion,Credit Card,Female,18-25,Medan
TRANS000261,CUST01313,9/9/2024,2114964,Fashion,Bank Transfer,Female,36-50,Jakarta
TRANS000262,CUST00334,5/11/2024,2409548,Beauty,Credit Card,Male,26-35,Yogyakarta
TRANS000263,CUST01150,2/23/2024,4938231,Electronics,Bank Transfer,Female,26-35,Yogyakarta
TRANS000264,CUST00303,2/25/2023,2613156,Home,Credit Card,Female,26-35,Yogyakarta
TRANS000265,CUST00128,12/16/2024,3355804,Sport,Credit Card,Female,18-25,Jakarta
TRANS000266,CUST00958,7/11/2023,2126122,Home,Credit Card,Male,36-50,Denpasar
TRANS000267,CUST00323,9/11/2024,1542602,Home,Bank Transfer,Female,26-35,Bandung
TRANS000268,CUST00930,6/28/2023,3572276,Beauty,Bank Transfer,Male,26-35,Yogyakarta
TRANS000269,CUST01692,4/10/2024,999602,Electronics,E-Wallet,Female,26-35,Surabaya
TRANS000270,CUST00891,6/29/2023,685704,Fashion,Credit Card,Female,26-35,Surabaya
TRANS000271,CUST00900,3/12/2024,4892726,Sport,Bank Transfer,Male,18-25,Bandung
TRANS000272,CUST01206,9/5/2024,1844015,Sport,Credit Card,Female,36-50,Jakarta
TRANS000273,CUST00835,5/1/2023,3025004,Home,Bank Transfer,Female,26-35,Jakarta
TRANS000274,CUST01835,3/30/2024,2459146,Beauty,Bank Transfer,Female,26-35,Medan
TRANS000275,CUST00461,11/19/2024,1901310,Fashion,Credit Card,Male,>50,Bandung
TRANS000276,CUST01221,2/18/2024,872736,Beauty,E-Wallet,Female,26-35,Denpasar
TRANS000277,CUST01561,11/19/2024,2767687,Beauty,Bank Transfer,Male,26-35,Bandung
TRANS000278,CUST01268,3/9/2024,508805,Sport,Bank Transfer,Female,26-35,Yogyakarta
TRANS000279,CUST01075,7/8/2023,1409831,Beauty,Credit Card,Female,26-35,Jakarta
TRANS000280,CUST00938,3/26/2024,1868967,Sport,Bank Transfer,Female,26-35,Surabaya
TRANS000281,CUST01203,6/23/2023,3287824,Home,Credit Card,Male,18-25,Bandung
TRANS000282,CUST00624,7/21/2023,4979191,Fashion,Bank Transfer,Female,>50,Bandung
TRANS000283,CUST00540,4/1/2023,4905751,Fashion,E-Wallet,Male,36-50,Medan
TRANS000284,CUST00060,2/22/2023,4539199,Sport,Bank Transfer,Male,26-35,Surabaya
TRANS000285,CUST00264,12/26/2023,683232,Beauty,E-Wallet,Female,26-35,Denpasar
TRANS000286,CUST01473,2/25/2024,2126759,Beauty,E-Wallet,Female,26-35,Jakarta
TRANS000287,CUST01238,10/23/2023,768630,Fashion,Credit Card,Female,>50,Denpasar
TRANS000288,CUST01349,3/16/2023,4105887,Electronics,Credit Card,Female,26-35,Jakarta
